Strategic Supplier	Crown Representative
Accenture	Nick Griffin
Amey	Phil Brookes
Arqiva	Sean Collins
Atkins	Ann Pedder
Atos	Beverley Tew
Babcock	Julie Scattergood
BAE Systems	Ann Pedder
British Telecom	TBC
Capgemini	Nick Griffin
Capita	Meryl Bushell
Carillion	Julie Scattergood
CGI	Beverley Tew
DHL	TBC
DXC	William Priest
Engie	Julie Scattergood
Fujitsu	Meryl Bushell
G4S	Ann Pedder
IBM	William Priest
Interserve	Phil Brookes
ISS Facility Services Ltd	Phil Brookes
Lockheed Martin	Ann Pedder
Microsoft	Myron Hrycyk
Mitie	Ed Smith
Motorola	Meryl Bushell
Oracle	Myron Hrycyk
Serco	Sir Robert Walmsley
Sodexo	Ed Smith
Sopra Steria	Nick Griffin
Telereal Trillium (TT)	Andrew Forzani
Virgin Media	David Brierwood
Vodafone	Sean Collins
